project,run_id,run_name,state,history_line_count,eval_acc,eval_format_acc,eval_total_reward,eval_answer_reward,eval_format_reward,eval_response_length,train_loss,train_entropy,train_gradient_norm,train_clip_fraction,train_answer_reward,train_format_reward,train_total_reward,train_step,eval_step,config_user_keys_empty
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,805,,,0.1630859375,0.1630859375,0.3759765625,699.0166015625,0.05131137650460005,0.2309417724609375,1.2109375,0.04801829159259796,0.21875,0.375,0.21875,800,5,true
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,405,,,0.3876953125,0.3876953125,0.8408203125,251.4638671875,-0.002399684162810445,0.2282257080078125,3.265625,0.041920728981494904,0.5625,0.9375,0.5625,400,5,true
grpo-off-policy-sweep,ens5k83f,grpo_ep2_bs128,finished,205,,,0.4013671875,0.4013671875,0.8857421875,247.62109375,0.01937458582688123,0.20130157470703125,2.25,0.036966461688280106,0.5625,0.84375,0.5625,200,5,true
grpo-off-policy-sweep,0r4dpvuo,grpo_ep2_bs256,finished,105,,,0.390625,0.390625,0.9072265625,225.67578125,0.0011814264580607414,0.1805992126464844,1.09375,0.031198685988783836,0.65625,0.96875,0.65625,100,5,true
grpo-off-policy-sweep,d009tt61,grpo_ep2_bs32,finished,805,,,0.3818359375,0.3818359375,0.8857421875,249.5498046875,-0.13081660657189786,0.127044677734375,2.96875,0.025533536449074745,0.5,0.84375,0.5,800,5,true
grpo-off-policy-sweep,0ub623wi,grpo_ep2_bs512,finished,55,,,0.232421875,0.232421875,0.8505859375,142.4326171875,-0.00000026047928258776665,0.09233474731445312,1.1875,0.0015243901871144772,0.375,0.9375,0.375,50,5,true
grpo-off-policy-sweep,x3l91jz3,grpo_ep4_bs32,finished,1605,,,0.2900390625,0.2900390625,0.50390625,571.775390625,-0.02387837925925851,0.082855224609375,7.625,0.07888719439506531,0.40625,0.53125,0.40625,1600,5,true
grpo-off-policy-sweep,r0k4swfr,grpo_ep4_bs64,finished,805,,,0.3330078125,0.3330078125,0.859375,228.5517578125,-0.059347963775508106,0.160125732421875,9.625,0.04153963178396225,0.53125,0.78125,0.53125,800,5,true
grpo-off-policy-sweep,vbsacusy,grpo_ep4_bs128,finished,405,,,0.3212890625,0.3212890625,0.8486328125,250.34375,-0.007838400022592396,0.16385269165039062,1.703125,0.040015242993831635,0.53125,0.9375,0.53125,400,5,true
grpo-off-policy-sweep,j9frkcon,grpo_ep4_bs256,finished,205,,,0.25,0.25,0.5048828125,391.6513671875,0.0009216179605573416,0.2226085662841797,3.234375,0.03544207289814949,0.375,0.5625,0.375,200,5,true
grpo-off-policy-sweep,55ui37pa,grpo_ep4_bs512,finished,105,,,0.3896484375,0.3896484375,0.9169921875,198.205078125,0.0005864666163688526,0.06399726867675781,0.83203125,0.03658536449074745,0.71875,1,0.71875,100,5,true
grpo-off-policy-sweep,bsmsuzyq,grpo_ep6_bs32,finished,2405,,,0.0966796875,0.0966796875,0.17578125,855.3173828125,-0.05264552170410752,0.025278091430664062,21.125,0.13910061120986938,0.15625,0.3125,0.15625,2400,5,true
grpo-off-policy-sweep,0tphuooo,grpo_ep6_bs64,crashed,1009,,,0.009765625,0.009765625,0.0517578125,649.5546875,0.001977375475689769,3.349853515625,0.07177734375,0.4191955029964447,0,0.03125,0,1005,4,true
grpo-prompt-ablation,auiix20i,grpo_r1-zero,finished,220,,,0.38671875,0.38671875,0.8779296875,255.4658203125,-0.2439831392839551,2.9914398193359375,4.78125,,0.625,0.78125,0.625,200,20,true
grpo-prompt-ablation,gu7kix6p,grpo_question-only,finished,220,,,0.5869140625,0.5869140625,0.861328125,576.916015625,-0.0024058570870693075,0.11008834838867188,0.034912109375,,0.6875,0.9375,0.6875,200,20,true
